post_title,sku,product_id,ca_product
Oratoire Saint Martin Cairanne Blanc Haut-Coustias 2017,15337,4940,41.0
Château Turcaud Bordeaux Blanc Cuvée Majeure 2018,15737,4962,158.20000000000002
Château Turcaud Bordeaux Rouge 2016,15958,4963,14.0
Planeta Sicilia Noto Santa Cecilia 2016,16094,5697,0.0
Domaine de l'Ecu Muscadet Taurus 2012,11736,5703,0.0
Maurice Schoech Pinot Gris Vendanges Tardives 2015,13754,4783,0.0
Domaine des Comtes Lafon Volnay 1er Cru Champans 2014,12790,6215,0.0
David Duband Chambolle-Musigny 1er Cru Les Sentiers 2016,14596,6201,0.0
Domaine Clerget Echezeaux Grand Cru En Orveaux 2015,15126,6202,0.0
Domaine Giudicelli Muscat du Cap Corse 2016,14604,6204,217.0
Domaine Giudicelli Vin de France Corail Rouge 2019,16565,6205,0.0
Domaine Giudicelli Patrimonio Blanc 2019,16580,6206,1033.2
Domaine Giudicelli Patrimonio Rouge 2016,16077,6207,932.4
Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2015,13996,6212,230.0
Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2016,15072,6213,0.0
Domaine des Comtes Lafon Volnay 1er Cru Champans 2013,11601,6214,0.0
Domaine des Comtes Lafon Volnay 1er Cru Champans 2016,15070,6216,0.0
I Fabbri Chianti Classico Gran Selezione 2015,15318,6038,0.0
Planeta Sicilia Eruzione 1614 2017,16096,6221,0.0
Planeta Sicilia Passito di Noto 2016,7032,6222,0.0
Planeta Sicilia Chardonnay 2017,15324,6223,160.2
Le Pas de l'Escalette IGP Hérault Ze Cinsault 2017,15162,6225,81.6
Le Pas de l'Escalette Terrasses du Larzac Le Pas de D. 2017,15161,6226,0.0
Le Pas de l'Escalette Terrasses du Larzac Les Frieys 2017,15163,6227,40.2
Borie de Maurel Minervois Rouge Esprit d'Automne 2019,16273,6278,45.0
Borie de Maurel Minervois Rouge Maxime 2003,16247,6279,0.0
Borie de Maurel Minervois Blanc La Belle Aude 2018,15654,6280,0.0
Domaine de Vaccelli Ajaccio Blanc Sirocco 2017,15834,6137,92.0
Moulin de Gassac IGP Pays d'Hérault Guilhem Blanc 2017,14570,6129,0.0
Moulin de Gassac IGP Pays d'Hérault Blanc Faune 2017,14569,6128,31.799999999999997
